    # Energy          Si          Ti          Cr          Fe          Ni
   -16.38972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.38072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.37072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.36072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.35172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.34172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.33272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.32272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.31272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.30372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.29372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.28472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.27472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.26472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.25572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.24572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.23672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.22672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.21672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.20772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.19772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.18872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.17872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.16872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.15972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.14972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.14072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.13072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.12072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.11172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.10172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.09272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.08272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.07272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.06372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.05372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.04472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.03472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.02472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.01572     0.00000     0.00000     0.00000     0.00000     0.00000
